Tiempo ,CORRIENTE,VELOCIDAD,ENTRADA
2.96,-0.001,0.015,0
2.97,-0.002,0.012,0
2.98,-0.002,0.015,0
2.99,-0.002,0.015,0
3,-0.002,0.012,0
3.01,-0.002,0.015,0
3.02,-0.002,0.015,0
3.03,-0.002,0.012,0
3.04,-0.002,0.015,0
3.05,-0.002,0.012,0
3.06,-0.002,0.012,0
3.07,-0.002,0.012,0
3.08,-0.002,0.012,0
3.09,-0.002,0.012,0
3.1,-0.002,0.012,0
3.11,-0.002,0.012,0
3.12,-0.002,0.012,0
3.13,-0.002,0.01,0
3.14,-0.002,0.01,0
3.15,-0.002,0.01,0
3.16,-0.002,0.012,0
3.17,-0.002,0.012,0
3.18,-0.002,0.01,0
3.19,-0.002,0.012,0
3.2,-0.002,0.01,0
3.21,-0.002,0.01,0
3.22,-0.002,0.01,0
3.23,-0.002,0.01,0
3.24,-0.002,0.01,0
3.25,-0.002,0.01,0
3.26,-0.002,0.01,0
3.27,-0.002,0.01,0
3.28,-0.003,0.01,0
3.29,-0.002,0.01,0
3.3,-0.003,0.01,0
3.31,-0.003,0.01,0
3.32,-0.003,0.008,0
3.33,-0.003,0.01,0
3.34,-0.004,0.008,0
3.35,-0.003,0.01,0
3.36,-0.003,0.008,0
3.37,-0.004,0.01,0
3.38,-0.004,0.005,0
3.39,-0.003,0.008,0
3.4,-0.003,0.008,0
3.41,-0.003,0.008,0
3.42,-0.003,0.005,0
3.43,-0.004,0.005,0
3.44,-0.004,0.008,0
3.45,-0.003,0.005,0
3.46,-0.003,0.008,0
3.47,-0.004,0.008,0
3.48,-0.003,0.005,0
3.49,-0.004,0.005,0
3.5,-0.003,0.005,0
3.51,-0.004,0.003,0
3.52,-0.003,0.005,0
3.53,-0.004,0.003,0
3.54,-0.004,0.005,0
3.55,-0.004,0.005,0
3.56,-0.004,0.005,0
3.57,-0.003,0.005,0
3.58,-0.004,0.005,0
3.59,-0.004,0.003,0
3.6,-0.004,0.003,0
3.61,-0.004,0.003,0
3.62,-0.004,0.003,0
3.63,-0.004,0.005,0
3.64,-0.004,0.003,0
3.65,-0.003,0.005,0
3.66,-0.004,0.003,0
3.67,-0.004,0.003,0
3.68,-0.004,0.003,0
3.69,-0.004,0.003,0
3.7,-0.004,0.003,0
3.71,-0.004,0.003,0
3.72,-0.004,0.003,0
3.73,-0.004,0,0
3.74,-0.004,0,0
3.75,-0.004,0.003,0
3.76,-0.004,0.003,0
3.77,-0.003,0,0
3.78,-0.004,0,0
3.79,-0.003,0,0
3.8,-0.003,0.003,0
3.81,-0.004,0,0
3.82,-0.003,0.003,0
3.83,-0.003,0,0
3.84,-0.004,0.003,0
3.85,-0.004,0,0
3.86,-0.003,0.003,0
3.87,-0.003,0,0
3.88,-0.003,0.003,0
3.89,-0.003,0,0
3.9,-0.003,0,0
3.91,-0.004,0,0
3.92,-0.003,0,0
3.93,-0.003,0,0
3.94,-0.003,0,0
3.95,-0.003,0,0
3.96,-0.004,0,0
3.97,-0.002,0,0
3.98,-0.002,0,0
3.99,-0.004,-0.003,0
4,-0.004,-0.003,0
4.01,-0.004,-0.003,0
4.02,0.573,0.035,3
4.03,0.512,0.76,3
4.04,0.468,1.227,3
4.05,0.424,1.555,3
4.06,0.401,1.785,3
4.07,0.382,1.998,3
4.08,0.371,2.197,3
4.09,0.351,2.335,3
4.1,0.347,2.45,3
4.11,0.332,2.585,3
4.12,0.325,2.695,3
4.13,0.314,2.793,3
4.14,0.301,2.89,3
4.15,0.289,2.947,3
4.16,0.278,3.038,3
4.17,0.271,3.145,3
4.18,0.301,3.195,3
4.19,0.279,3.245,3
4.2,0.247,3.3,3
4.21,0.242,3.325,3
4.22,0.238,3.453,3
4.23,0.219,3.515,3
4.24,0.225,3.51,3
4.25,0.213,3.565,3
4.26,0.206,3.62,3
4.27,0.225,3.585,3
4.28,0.199,3.66,3
4.29,0.199,3.715,3
4.3,0.208,3.7,3
4.31,0.193,3.742,3
4.32,0.194,3.83,3
4.33,0.203,3.772,3
4.34,0.234,3.823,3
4.35,0.213,3.805,3
4.36,0.179,3.848,3
4.37,0.216,3.93,3
4.38,0.194,3.887,3
4.39,0.176,3.947,3
4.4,0.194,3.895,3
4.41,0.201,3.975,3
4.42,0.191,3.925,3
4.43,0.174,3.943,3
4.44,0.182,3.972,3
4.45,0.17,3.988,3
4.46,0.182,4.047,3
4.47,0.175,3.988,3
4.48,0.196,4.043,3
4.49,0.178,4.035,3
4.5,0.166,4.047,3
4.51,0.177,4.023,3
4.52,0.214,4.092,3
4.53,0.181,3.99,3
4.54,0.142,4.09,3
4.55,0.186,4.025,3
4.56,0.214,4.09,3
4.57,0.183,4.053,3
4.58,0.136,4.088,3
4.59,0.181,4.075,3
4.6,0.135,4.11,3
4.61,0.179,4.08,3
4.62,0.134,4.12,3
4.63,0.184,4.06,3
4.64,0.211,4.135,3
4.65,0.184,4.07,3
4.66,0.137,4.14,3
4.67,0.182,4.075,3
4.68,0.14,4.157,3
4.69,0.167,4.07,3
4.7,0.147,4.162,3
4.71,0.167,4.125,3
4.72,0.193,4.157,3
4.73,0.169,4.135,3
4.74,0.14,4.165,3
4.75,0.162,4.13,3
4.76,0.174,4.212,3
4.77,0.15,4.125,3
4.78,0.162,4.193,3
4.79,0.148,4.162,3
4.8,0.159,4.155,3
4.81,0.152,4.157,3
4.82,0.163,4.175,3
4.83,0.143,4.17,3
4.84,0.174,4.13,3
4.85,0.141,4.21,3
4.86,0.159,4.12,3
4.87,0.132,4.193,3
4.88,0.169,4.157,3
4.89,0.126,4.193,3
4.9,0.17,4.113,3
4.91,0.149,4.202,3
4.92,0.166,4.175,3
4.93,0.142,4.19,3
4.94,0.16,4.153,3
4.95,0.154,4.225,3
4.96,0.151,4.153,3
4.97,0.207,4.185,3
4.98,0.148,4.175,3
4.99,0.157,4.175,3
5,0.141,4.168,3
5.01,0.166,4.162,3
5.02,0.138,4.24,3
5.03,0.155,4.148,3
5.04,0.127,4.19,3
5.05,0.171,4.165,3
5.06,0.13,4.212,3
5.07,0.164,4.14,3
5.08,0.144,4.202,3
5.09,0.167,4.175,3
5.1,0.143,4.222,3
5.11,0.149,4.155,3
5.12,0.16,4.222,3
5.13,0.148,4.19,3
5.14,0.154,4.19,3
5.15,0.14,4.18,3
5.16,0.167,4.175,3
5.17,0.136,4.24,3
5.18,0.155,4.16,3
5.19,0.127,4.2,3
5.2,0.17,4.173,3
5.21,0.134,4.218,3
5.22,0.162,4.157,3
5.23,0.183,4.202,3
5.24,0.161,4.18,3
5.25,0.142,4.238,3
5.26,0.147,4.153,3
5.27,0.156,4.212,3
5.28,0.146,4.198,3
5.29,0.157,4.21,3
5.3,0.138,4.21,3
5.31,0.157,4.162,3
5.32,0.142,4.243,3
5.33,0.157,4.185,3
5.34,0.126,4.215,3
5.35,0.163,4.153,3
5.36,0.143,4.22,3
5.37,0.164,4.207,3
5.38,0.137,4.22,3
5.39,0.153,4.16,3
5.4,0.214,4.24,3
5.41,0.145,4.193,3
5.42,0.154,4.19,3
5.43,0.141,4.185,3
5.44,0.164,4.198,3
5.45,0.137,4.253,3
5.46,0.155,4.17,3
5.47,0.128,4.21,3
5.48,0.174,4.165,3
5.49,0.137,4.24,3
5.5,0.161,4.19,3
5.51,0.14,4.205,3
5.52,0.16,4.177,3
5.53,0.164,4.257,3
5.54,0.149,4.202,3
5.55,0.205,4.195,3
5.56,0.144,4.182,3
5.57,0.179,4.198,3
5.58,0.139,4.238,3
5.59,0.16,4.155,3
5.6,0.129,4.222,3
5.61,0.176,4.18,3
5.62,0.204,4.227,3
5.63,0.167,4.145,3
5.64,0.142,4.205,3
5.65,0.168,4.19,3
5.66,0.169,4.218,3
5.67,0.154,4.153,3
5.68,0.161,4.243,3
5.69,0.154,4.198,3
5.7,0.199,4.19,3
5.71,0.144,4.18,3
5.72,0.17,4.2,3
5.73,0.137,4.23,3
5.74,0.162,4.155,3
5.75,0.137,4.225,3
5.76,0.171,4.19,3
5.77,0.128,4.22,3
5.78,0.171,4.14,3
5.79,0.144,4.21,3
5.8,0.166,4.2,3
5.81,0.14,4.218,3
5.82,0.155,4.17,3
5.83,0.168,4.247,3
5.84,0.147,4.207,3
5.85,0.183,4.198,3
5.86,0.142,4.19,3
5.87,0.189,4.193,3
5.88,0.15,4.238,3
5.89,0.164,4.14,3
5.9,0.135,4.22,3
5.91,0.17,4.165,3
5.92,0.206,4.193,3
5.93,0.176,4.145,3
5.94,0.138,4.23,3
5.95,0.166,4.168,3
5.96,0.141,4.205,3
5.97,0.167,4.193,3
5.98,0.144,4.235,3
5.99,0.152,4.153,3
6,0.168,4.225,3
6.01,0.148,4.207,3
6.02,0.157,4.198,3
6.03,0.145,4.193,3
6.04,0.169,4.195,3
6.05,0.139,4.257,3
6.06,0.159,4.162,3
6.07,0.128,4.22,3
6.08,0.175,4.18,3
6.09,0.206,4.233,3
6.1,0.165,4.153,3
6.11,0.141,4.215,3
6.12,0.168,4.205,3
6.13,0.146,4.245,3
6.14,0.149,4.162,3
6.15,0.158,4.245,3
6.16,0.148,4.215,3
6.17,0.154,4.21,3
6.18,0.138,4.21,3
6.19,0.167,4.19,3
6.2,0.139,4.273,3
6.21,0.158,4.188,3
6.22,0.131,4.212,3
6.23,0.171,4.17,3
6.24,0.14,4.253,3
6.25,0.162,4.21,3
6.26,0.141,4.233,3
6.27,0.158,4.182,3
6.28,0.162,4.273,3
