Tiempo ,CONTROL,VELOCIDA,REFERENC
1.79,2.951,3.935,4
1.795,2.893,3.997,4
1.8,2.853,4.037,4
1.805,2.883,4.005,4
1.81,2.898,3.99,4
1.815,2.839,4.05,4
1.82,2.863,4.023,4
1.825,2.929,3.955,4
1.83,2.932,3.955,4
1.835,2.872,4.017,4
1.84,2.881,4.008,4
1.845,2.916,3.972,4
1.85,2.89,4,4
1.855,2.86,4.03,4
1.86,2.893,3.995,4
1.865,2.916,3.972,4
1.87,2.868,4.023,4
1.875,2.889,4,4
1.88,2.926,3.963,4
1.885,2.933,3.957,4
1.89,2.851,4.043,4
1.895,2.856,4.035,4
1.9,2.889,4,4
1.905,2.894,3.995,4
1.91,2.867,4.023,4
1.915,2.9,3.988,4
1.92,2.948,3.94,4
1.925,2.902,3.99,4
1.93,2.883,4.01,4
1.935,2.91,3.983,4
1.94,2.908,3.985,4
1.945,2.844,4.05,4
1.95,2.849,4.043,4
1.955,2.918,3.97,4
1.96,2.93,3.96,4
1.965,2.888,4.005,4
1.97,2.902,3.99,4
1.975,2.928,3.965,4
1.98,2.883,4.012,4
1.985,2.859,4.035,4
1.99,2.89,4.003,4
1.995,2.92,3.972,4
2,2.864,4.03,4
2.005,2.887,4.005,4
2.01,2.939,3.952,4
2.015,2.939,3.955,4
2.02,2.865,4.033,4
2.025,2.853,4.043,4
2.03,2.888,4.005,4
2.035,2.887,4.005,4
2.04,2.862,4.03,4
2.045,2.913,3.977,4
2.05,2.957,3.935,4
2.055,2.908,3.988,4
2.06,2.894,4.003,4
2.065,2.916,3.98,4
2.07,2.912,3.985,4
2.075,2.843,4.055,4
2.08,2.853,4.043,4
2.085,2.922,3.97,4
2.09,2.932,3.963,4
2.095,2.889,4.008,4
2.1,2.909,3.988,4
2.105,2.947,3.95,4
2.11,2.9,4,4
2.115,2.87,4.03,4
2.12,2.9,3.997,4
2.125,2.931,3.967,4
2.13,2.868,4.033,4
2.135,2.893,4.005,4
2.14,2.945,3.952,4
2.145,2.941,3.96,4
2.15,2.863,4.04,4
2.155,2.873,4.027,4
2.16,2.909,3.99,4
2.165,2.9,4,4
2.17,2.885,4.015,4
2.175,2.914,3.985,4
2.18,2.945,3.955,4
2.185,2.895,4.008,4
2.19,2.874,4.027,4
2.195,2.903,3.997,4
2.2,2.91,3.99,4
2.205,2.856,4.045,4
2.21,2.873,4.025,4
2.215,2.932,3.965,4
2.22,2.959,3.94,4
2.225,2.88,4.023,4
2.23,2.861,4.04,4
2.235,2.901,3.997,4
2.24,2.886,4.012,4
2.245,2.866,4.033,4
2.25,2.911,3.985,4
2.255,2.957,3.94,4
2.26,2.901,4,4
2.265,2.891,4.01,4
2.27,2.91,3.99,4
2.275,2.921,3.98,4
2.28,2.847,4.055,4
2.285,2.866,4.033,4
2.29,2.939,3.957,4
2.295,2.937,3.963,4
2.3,2.884,4.017,4
2.305,2.893,4.008,4
2.31,2.925,3.975,4
2.315,2.896,4.005,4
2.32,2.871,4.03,4
2.325,2.909,3.99,4
2.33,2.95,3.95,4
2.335,2.898,4.005,4
2.34,2.903,4,4
2.345,2.933,3.97,4
2.35,2.924,3.98,4
2.355,2.851,4.055,4
2.36,2.865,4.037,4
2.365,2.92,3.98,4
2.37,2.949,3.952,4
2.375,2.902,4.003,4
2.38,2.909,3.995,4
2.385,2.934,3.97,4
2.39,2.901,4.005,4
2.395,2.861,4.045,4
2.4,2.908,3.995,4
2.405,2.931,3.972,4
2.41,2.89,4.015,4
2.415,2.904,4,4
2.42,2.939,3.965,4
2.425,2.934,3.972,4
2.43,2.848,4.06,4
2.435,2.854,4.05,4
2.44,2.916,3.985,4
2.445,2.922,3.98,4
2.45,2.896,4.008,4
2.455,2.905,3.997,4
2.46,2.936,3.967,4
2.465,2.885,4.02,4
2.47,2.866,4.037,4
2.475,2.897,4.005,4
2.48,2.929,3.972,4
2.485,2.888,4.015,4
2.49,2.902,4,4
2.495,2.927,3.975,4
2.5,2.924,3.98,4
2.505,2.85,4.055,4
2.51,2.854,4.047,4
2.515,2.911,3.988,4
2.52,2.929,3.97,4
2.525,2.889,4.012,4
2.53,2.898,4.003,4
2.535,2.923,3.977,4
2.54,2.892,4.01,4
2.545,2.859,4.043,4
2.55,2.898,4,4
2.555,2.931,3.967,4
2.56,2.883,4.017,4
2.565,2.902,3.997,4
2.57,2.932,3.967,4
2.575,2.929,3.972,4
2.58,2.846,4.057,4
2.585,2.855,4.045,4
2.59,2.909,3.988,4
2.595,2.92,3.977,4
2.6,2.889,4.01,4
2.605,2.903,3.995,4
2.61,2.939,3.96,4
2.615,2.899,4.003,4
2.62,2.869,4.033,4
2.625,2.897,4.003,4
2.63,2.931,3.967,4
2.635,2.883,4.017,4
2.64,2.9,4,4
2.645,2.947,3.952,4
2.65,2.94,3.963,4
2.655,2.86,4.045,4
2.66,2.862,4.04,4
2.665,2.905,3.995,4
2.67,2.92,3.98,4
2.675,2.891,4.01,4
2.68,2.916,3.985,4
2.685,2.959,3.943,4
2.69,2.908,3.997,4
2.695,2.88,4.025,4
2.7,2.911,3.993,4
2.705,2.914,3.99,4
2.71,2.857,4.047,4
2.715,2.887,4.015,4
2.72,2.941,3.96,4
2.725,2.948,3.955,4
2.73,2.884,4.023,4
2.735,2.875,4.03,4
2.74,2.908,3.995,4
2.745,2.886,4.017,4
2.75,2.877,4.025,4
2.755,2.916,3.985,4
2.76,2.949,3.952,4
2.765,2.907,3.997,4
2.77,2.887,4.017,4
