Tiempo ,CONTROL,PID,ANGULO,REFERENC,PERTURBA
4.66,0.041,0.041,-0.025,0,0
4.68,0.057,0.057,-0.042,0,0
4.7,0.073,0.073,-0.06,0,0
4.72,0.092,0.092,-0.079,0,0
4.74,0.109,0.109,-0.096,0,0
4.76,0.128,0.128,-0.114,0,0
4.78,0.146,0.146,-0.131,0,0
4.8,0.166,0.166,-0.149,0,0
4.82,0.184,0.184,-0.165,0,0
4.84,0.203,0.203,-0.18,0,0
4.86,0.22,0.22,-0.194,0,0
4.88,0.237,0.237,-0.206,0,0
4.9,0.252,0.252,-0.217,0,0
4.92,0.266,0.266,-0.226,0,0
4.94,0.28,0.28,-0.234,0,0
4.96,0.291,0.291,-0.24,0,0
4.98,0.299,0.299,-0.241,0,0
5,0.307,0.307,-0.243,0,0
5.02,0.311,0.311,-0.24,0,0
5.04,0.314,0.314,-0.236,0,0
5.06,0.314,0.314,-0.229,0,0
5.08,0.312,0.312,-0.22,0,0
5.1,0.306,0.306,-0.208,0,0
5.12,0.299,0.299,-0.194,0,0
5.14,0.289,0.289,-0.179,0,0
5.16,0.276,0.276,-0.159,0,0
5.18,0.262,0.262,-0.14,0,0
5.2,0.245,0.245,-0.117,0,0
5.22,0.226,0.226,-0.095,0,0
5.24,0.207,0.207,-0.072,0,0
5.26,0.184,0.184,-0.046,0,0
5.28,0.161,0.161,-0.021,0,0
5.3,0.138,0.138,0.003,0,0
5.32,0.112,0.112,0.029,0,0
5.34,0.088,0.088,0.054,0,0
5.36,0.063,0.063,0.076,0,0
5.38,0.039,0.039,0.099,0,0
5.4,0.015,0.015,0.12,0,0
5.42,0,-0.008,0.139,0,0
5.44,0,-0.03,0.157,0,0
5.46,0,-0.051,0.172,0,0
5.48,0,-0.071,0.186,0,0
5.5,0,-0.088,0.197,0,0
5.52,0,-0.104,0.205,0,0
5.54,0,-0.118,0.212,0,0
5.56,0,-0.129,0.216,0,0
5.58,0,-0.139,0.218,0,0
5.6,0,-0.146,0.216,0,0
5.62,0,-0.15,0.212,0,0
5.64,0,-0.152,0.205,0,0
5.66,0,-0.151,0.197,0,0
5.68,0,-0.148,0.186,0,0
5.7,0,-0.142,0.172,0,0
5.72,0,-0.134,0.157,0,0
5.74,0,-0.124,0.139,0,0
5.76,0,-0.111,0.12,0,0
5.78,0,-0.096,0.099,0,0
5.8,0,-0.078,0.076,0,0
5.82,0,-0.059,0.052,0,0
5.84,0,-0.038,0.027,0,0
5.86,0,-0.015,0.001,0,0
5.88,0.009,0.009,-0.025,0,0
5.9,0.033,0.033,-0.051,0,0
5.92,0.06,0.06,-0.079,0,0
5.94,0.087,0.087,-0.105,0,0
5.96,0.114,0.114,-0.131,0,0
5.98,0.142,0.142,-0.158,0,0
6,0.171,0.171,-0.184,0,0
6.02,0.2,0.2,-0.21,0,0
6.04,0.227,0.227,-0.233,0,0
6.06,0.255,0.255,-0.255,0,0
6.08,0.28,0.28,-0.274,0,0
6.1,0.306,0.306,-0.294,0,0
