Tiempo ;Entrada;Angulo;Posicion
7.3;0;0.527;0.267
7.32;0;0.552;0.267
7.34;0;0.569;0.267
7.36;0;0.578;0.267
7.38;0;0.579;0.267
7.4;0;0.574;0.267
7.42;0;0.557;0.267
7.44;0;0.536;0.267
7.46;0;0.504;0.267
7.48;0;0.466;0.267
7.5;0;0.422;0.267
7.52;0;0.372;0.267
7.54;0;0.316;0.267
7.56;0;0.255;0.267
7.58;0;0.19;0.267
7.6;0;0.126;0.267
7.62;0;0.056;0.267
7.64;0;-0.012;0.267
7.66;0;-0.08;0.267
7.68;0;-0.148;0.267
7.7;0;-0.213;0.267
7.72;0;-0.276;0.267
7.74;0;-0.333;0.267
7.76;0;-0.387;0.267
7.78;0;-0.435;0.267
7.8;0;-0.478;0.267
7.82;0;-0.513;0.267
7.84;0;-0.541;0.267
7.86;0;-0.562;0.267
7.88;0;-0.574;0.267
7.9;0;-0.579;0.267
7.92;0;-0.578;0.267
7.94;0;-0.567;0.267
7.96;0;-0.546;0.267
7.98;0;-0.518;0.267
8;0;-0.485;0.267
8.02;0;-0.443;0.267
8.04;0;-0.396;0.267
8.06;0;-0.344;0.267
8.08;0;-0.286;0.267
8.1;0;-0.223;0.267
8.12;0;-0.159;0.267
8.14;0;-0.093;0.267
8.16;0;-0.023;0.267
8.18;0;0.045;0.267
8.2;0;0.113;0.267
8.22;0;0.18;0.267
8.24;0;0.243;0.267
8.26;0;0.302;0.267
8.28;0;0.358;0.267
8.3;0;0.408;0.267
8.32;0;0.454;0.267
8.34;0;0.492;0.267
8.36;0;0.524;0.267
8.38;0;0.548;0.267
8.4;0;0.564;0.267
8.42;0;0.572;0.267
8.44;0;0.574;0.267
8.46;0;0.567;0.267
8.48;0;0.55;0.267
8.5;0;0.527;0.267
8.52;0;0.496;0.267
8.54;0;0.459;0.267
8.56;0;0.414;0.267
8.58;0;0.363;0.267
8.6;0;0.307;0.267
8.62;0;0.248;0.267
8.64;0;0.185;0.267
8.66;0;0.119;0.267
8.68;0;0.051;0.267
8.7;0;-0.016;0.267
8.72;0;-0.084;0.267
8.74;0;-0.152;0.267
8.76;0;-0.215;0.267
8.78;0;-0.276;0.267
8.8;0;-0.333;0.267
8.82;0;-0.386;0.267
8.84;0;-0.433;0.267
8.86;0;-0.475;0.267
8.88;0;-0.51;0.267
8.9;0;-0.538;0.267
8.92;0;-0.557;0.267
8.94;0;-0.569;0.267
8.96;0;-0.572;0.267
8.98;0;-0.571;0.267
9;0;-0.559;0.267
9.02;0;-0.539;0.267
9.04;0;-0.511;0.267
9.06;0;-0.478;0.267
9.08;0;-0.436;0.267
9.1;0;-0.387;0.267
9.12;0;-0.337;0.267
9.14;0;-0.279;0.267
9.16;0;-0.216;0.267
9.18;0;-0.152;0.267
9.2;0;-0.087;0.267
9.22;0;-0.019;0.267
9.24;0;0.049;0.267
9.26;0;0.117;0.267
9.28;0;0.182;0.267
9.3;0;0.243;0.267
9.32;0;0.302;0.267
9.34;0;0.356;0.267
9.36;0;0.407;0.267
9.38;0;0.452;0.267
9.4;0;0.489;0.267
9.42;0;0.518;0.267
9.44;0;0.543;0.267
9.46;0;0.559;0.267
