Tiempo ,ANGULO,ENTRADA,ESTIMULO,PERTURBA
5.14,-0.086,0.019,0.019,0
5.16,-0.086,0.022,0.022,0
5.18,-0.086,0.026,0.026,0
5.2,-0.086,0.029,0.029,0
5.22,-0.086,0.032,0.032,0
5.24,-0.086,0.035,0.035,0
5.26,-0.086,0.038,0.038,0
5.28,-0.086,0.042,0.042,0
5.3,-0.086,0.045,0.045,0
5.32,-0.086,0.048,0.048,0
5.34,-0.086,0.051,0.051,0
5.36,-0.086,0.054,0.054,0
5.38,-0.086,0.058,0.058,0
5.4,-0.086,0.061,0.061,0
5.42,-0.086,0.064,0.064,0
5.44,-0.086,0.067,0.067,0
5.46,-0.086,0.07,0.07,0
5.48,-0.086,0.074,0.074,0
5.5,-0.086,0.077,0.077,0
5.52,-0.086,0.08,0.08,0
5.54,-0.086,0.083,0.083,0
5.56,-0.086,0.086,0.086,0
5.58,-0.086,0.09,0.09,0
5.6,-0.086,0.093,0.093,0
5.62,-0.086,0.096,0.096,0
5.64,-0.086,0.099,0.099,0
5.66,-0.086,0.102,0.102,0
5.68,-0.084,0.106,0.106,0
5.7,-0.084,0.109,0.109,0
5.72,-0.083,0.112,0.112,0
5.74,-0.083,0.115,0.115,0
5.76,-0.081,0.118,0.118,0
5.78,-0.081,0.122,0.122,0
5.8,-0.079,0.125,0.125,0
5.82,-0.077,0.128,0.128,0
5.84,-0.076,0.131,0.131,0
5.86,-0.072,0.134,0.134,0
5.88,-0.07,0.138,0.138,0
5.9,-0.069,0.141,0.141,0
5.92,-0.067,0.144,0.144,0
5.94,-0.063,0.147,0.147,0
5.96,-0.06,0.15,0.15,0
5.98,-0.058,0.154,0.154,0
6,-0.055,0.157,0.157,0
6.02,-0.051,0.16,0.16,0
6.04,-0.049,0.163,0.163,0
6.06,-0.046,0.166,0.166,0
6.08,-0.042,0.17,0.17,0
6.1,-0.039,0.173,0.173,0
6.12,-0.035,0.176,0.176,0
6.14,-0.032,0.179,0.179,0
6.16,-0.028,0.182,0.182,0
6.18,-0.025,0.186,0.186,0
6.2,-0.021,0.189,0.189,0
6.22,-0.018,0.192,0.192,0
6.24,-0.014,0.195,0.195,0
6.26,-0.011,0.198,0.198,0
6.28,-0.007,0.202,0.202,0
6.3,-0.004,0.205,0.205,0
6.32,0,0.208,0.208,0
6.34,0.003,0.211,0.211,0
6.36,0.007,0.214,0.214,0
6.38,0.01,0.218,0.218,0
6.4,0.013,0.221,0.221,0
6.42,0.017,0.224,0.224,0
6.44,0.019,0.227,0.227,0
6.46,0.022,0.23,0.23,0
6.48,0.024,0.234,0.234,0
6.5,0.027,0.237,0.237,0
6.52,0.029,0.24,0.24,0
6.54,0.033,0.243,0.243,0
6.56,0.034,0.246,0.246,0
6.58,0.036,0.25,0.25,0
6.6,0.038,0.253,0.253,0
6.62,0.04,0.256,0.256,0
6.64,0.041,0.259,0.259,0
6.66,0.041,0.262,0.262,0
6.68,0.043,0.266,0.266,0
6.7,0.045,0.269,0.269,0
6.72,0.045,0.272,0.272,0
6.74,0.047,0.275,0.275,0
6.76,0.047,0.278,0.278,0
6.78,0.047,0.282,0.282,0
6.8,0.048,0.285,0.285,0
6.82,0.048,0.288,0.288,0
6.84,0.048,0.291,0.291,0
6.86,0.048,0.294,0.294,0
6.88,0.05,0.298,0.298,0
6.9,0.05,0.301,0.301,0
6.92,0.05,0.304,0.304,0
6.94,0.052,0.307,0.307,0
6.96,0.052,0.31,0.31,0
6.98,0.052,0.314,0.314,0
7,0.052,0.317,0.317,0
